"STATION","DATE","EMXP"
"USC00338609","1981-03","13.0"
"USC00338609","1981-04","16.0"
"USC00338609","1981-05","25.7"
"USC00338609","1981-06","87.6"
"USC00338609","1981-07","23.4"
"USC00338609","1981-08","29.5"
"USC00338609","1981-09","46.5"
"USC00338609","1981-10","19.3"
"USC00338609","1981-11","13.0"
"USC00338609","1981-12","32.5"
"USC00338609","1982-02","10.4"
"USC00338609","1982-03","19.8"
"USC00338609","1982-04","17.3"
"USC00338609","1982-05","41.9"
"USC00338609","1982-06","22.6"
"USC00338609","1982-07","19.8"
"USC00338609","1982-08","16.8"
"USC00338609","1982-09","26.4"
"USC00338609","1982-10","34.3"
"USC00338609","1982-11","16.3"
"USC00338609","1982-12",
"USC00338609","1983-01","9.4"
"USC00338609","1983-02","11.9"
"USC00338609","1983-03","23.1"
"USC00338609","1983-04","31.5"
"USC00338609","1983-05","31.0"
"USC00338609","1983-06","37.1"
"USC00338609","1983-07","37.3"
"USC00338609","1983-08","16.5"
"USC00338609","1983-09","17.8"
"USC00338609","1983-10","36.6"
"USC00338609","1983-11","44.7"
"USC00338609","1983-12","20.1"
"USC00338609","1984-01","5.8"
"USC00338609","1984-02","8.6"
"USC00338609","1984-03","18.5"
"USC00338609","1984-04","26.7"
"USC00338609","1984-05","25.4"
"USC00338609","1984-06","10.9"
"USC00338609","1984-07","30.0"
"USC00338609","1984-08","16.5"
"USC00338609","1984-09","23.1"
"USC00338609","1984-10","22.4"
"USC00338609","1984-11","37.6"
"USC00338609","1984-12","17.8"
"USC00338609","1985-01","24.4"
"USC00338609","1985-02","19.6"
"USC00338609","1985-03","26.7"
"USC00338609","1985-04","11.7"
"USC00338609","1985-05","49.5"
"USC00338609","1985-06","31.0"
"USC00338609","1985-07","20.8"
"USC00338609","1985-08","14.5"
"USC00338609","1985-09","36.1"
"USC00338609","1985-10","51.3"
"USC00338609","1985-11","26.9"
"USC00338609","1985-12","20.8"
"USC00338609","1986-01","14.5"
"USC00338609","1986-02","14.7"
"USC00338609","1986-03","37.6"
"USC00338609","1986-04","29.7"
"USC00338609","1986-05","31.5"
"USC00338609","1986-06","37.8"
"USC00338609","1986-07","51.6"
"USC00338609","1986-08","42.7"
"USC00338609","1986-10","14.7"
"USC00338609","1986-11","10.9"
"USC00338609","1986-12","15.7"
"USC00338609","1987-01","12.2"
"USC00338609","1987-02","0.8"
"USC00338609","1987-03","25.4"
"USC00338609","1987-04","10.4"
"USC00338609","1987-05","19.8"
"USC00338609","1987-06","25.4"
"USC00338609","1987-07","24.1"
"USC00338609","1987-08","53.6"
"USC00338609","1987-09","5.1"
"USC00338609","1987-10","19.1"
"USC00338609","1987-11","17.0"
"USC00338609","1987-12","34.0"
"USC00338609","1988-01","6.9"
"USC00338609","1988-02","10.4"
"USC00338609","1988-03","11.7"
"USC00338609","1988-04","16.5"
"USC00338609","1988-05","7.1"
"USC00338609","1988-06","11.2"
"USC00338609","1988-07","20.8"
"USC00338609","1988-08","61.5"
"USC00338609","1988-09","32.5"
"USC00338609","1988-10","33.0"
"USC00338609","1988-12","25.9"
"USC00338609","1989-01","25.9"
"USC00338609","1989-02","9.4"
"USC00338609","1989-03","9.7"
"USC00338609","1989-04","31.2"
"USC00338609","1989-05","69.6"
"USC00338609","1989-06","29.0"
"USC00338609","1989-07","33.0"
"USC00338609","1989-08","21.6"
"USC00338609","1989-09","41.4"
"USC00338609","1989-10","9.4"
"USC00338609","1989-11","25.4"
"USC00338609","1989-12","13.5"
"USC00338609","1990-01","10.2"
"USC00338609","1990-02","29.2"
"USC00338609","1990-03","14.0"
"USC00338609","1990-04","15.5"
"USC00338609","1990-05","41.1"
"USC00338609","1990-06","27.9"
"USC00338609","1990-07","78.7"
"USC00338609","1990-08","44.2"
"USC00338609","1990-09","35.3"
"USC00338609","1990-10","32.5"
"USC00338609","1990-11","17.3"
"USC00338609","1990-12","57.2"
"USC00338609","1991-01","12.7"
"USC00338609","1991-02","9.4"
"USC00338609","1991-03","10.7"
"USC00338609","1991-04","50.8"
"USC00338609","1991-05","63.5"
"USC00338609","1991-06","3.0"
"USC00338609","1991-07","25.1"
"USC00338609","1991-08","29.5"
"USC00338609","1991-09","16.8"
"USC00338609","1991-10","39.4"
"USC00338609","1991-11","21.3"
"USC00338609","1991-12","13.2"
"USC00338609","1992-01","27.9"
"USC00338609","1992-02","11.9"
"USC00338609","1992-03","20.3"
"USC00338609","1992-04","34.3"
"USC00338609","1992-05","23.4"
"USC00338609","1992-06","18.8"
"USC00338609","1992-07","57.7"
"USC00338609","1992-08","13.7"
"USC00338609","1992-09","65.5"
"USC00338609","1992-10","36.3"
"USC00338609","1992-11","32.3"
"USC00338609","1992-12","12.7"
"USC00338609","1993-01","20.8"
"USC00338609","1993-02","14.0"
"USC00338609","1993-03","13.2"
"USC00338609","1993-04","27.9"
"USC00338609","1993-05","17.0"
"USC00338609","1993-06","80.0"
"USC00338609","1993-07","42.7"
"USC00338609","1993-08","12.7"
"USC00338609","1993-09","31.0"
"USC00338609","1993-10","19.1"
"USC00338609","1993-11","22.4"
"USC00338609","1993-12","13.0"
"USC00338609","1994-01","31.5"
"USC00338609","1994-02","4.3"
"USC00338609","1994-03","4.6"
"USC00338609","1994-04","43.4"
"USC00338609","1994-05","18.3"
"USC00338609","1994-06","50.8"
"USC00338609","1994-07","26.7"
"USC00338609","1994-08","29.0"
"USC00338609","1994-09","12.2"
"USC00338609","1994-10","14.7"
"USC00338609","1994-11","36.6"
"USC00338609","1994-12","20.3"
"USC00338609","1995-01","16.3"
"USC00338609","1995-02","11.4"
"USC00338609","1995-03","18.0"
"USC00338609","1995-04","23.4"
"USC00338609","1995-05","26.9"
"USC00338609","1995-06","57.2"
"USC00338609","1995-07","19.1"
"USC00338609","1995-08","33.3"
"USC00338609","1995-09","5.1"
"USC00338609","1995-10","37.6"
"USC00338609","1995-11","18.3"
"USC00338609","1995-12","11.7"
"USC00338609","1996-01","15.7"
"USC00338609","1996-02","4.8"
"USC00338609","1996-03","22.9"
"USC00338609","1996-04","19.1"
"USC00338609","1996-05","32.3"
"USC00338609","1996-06","28.4"
"USC00338609","1996-07","99.6"
"USC00338609","1996-08","38.9"
"USC00338609","1996-09","20.3"
"USC00338609","1996-10","22.1"
"USC00338609","1996-11","45.5"
"USC00338609","1996-12","23.4"
"USC00338609","1997-01","13.5"
"USC00338609","1997-02","68.3"
"USC00338609","1997-03","33.8"
"USC00338609","1997-04","12.2"
"USC00338609","1997-05","35.6"
"USC00338609","1997-06","24.6"
"USC00338609","1997-07","71.6"
"USC00338609","1997-08","30.0"
"USC00338609","1997-09","107.2"
"USC00338609","1997-10","15.7"
"USC00338609","1997-11","21.1"
"USC00338609","1997-12","11.2"
"USC00338609","1998-01","10.2"
"USC00338609","1998-02","14.0"
"USC00338609","1998-03","16.5"
"USC00338609","1998-04","31.0"
"USC00338609","1998-05","23.1"
"USC00338609","1998-06","69.9"
"USC00338609","1998-07","67.3"
"USC00338609","1998-08","71.1"
"USC00338609","1998-09","14.0"
"USC00338609","1998-10","33.0"
"USC00338609","1998-11","17.8"
"USC00338609","1998-12","9.7"
"USC00338609","1999-01","37.1"
"USC00338609","1999-02","26.2"
"USC00338609","1999-03","15.2"
"USC00338609","1999-04","30.5"
"USC00338609","1999-05","18.3"
"USC00338609","1999-06","26.9"
"USC00338609","1999-07","30.0"
"USC00338609","1999-08","16.5"
"USC00338609","1999-09","20.3"
"USC00338609","1999-10","21.6"
"USC00338609","1999-11","11.4"
"USC00338609","1999-12","19.1"
"USC00338609","2000-01","14.5"
"USC00338609","2000-02","14.5"
"USC00338609","2000-03","17.0"
"USC00338609","2000-04","20.8"
"USC00338609","2000-05","32.3"
"USC00338609","2000-06","54.4"
"USC00338609","2000-07","22.4"
"USC00338609","2000-08","58.4"
"USC00338609","2000-09","30.0"
"USC00338609","2000-10","25.4"
"USC00338609","2000-11","27.7"
"USC00338609","2000-12","24.9"
"USC00338609","2001-01","10.2"
"USC00338609","2001-02","17.8"
"USC00338609","2001-03","10.9"
"USC00338609","2001-04","23.4"
"USC00338609","2001-05","25.4"
"USC00338609","2001-06","17.0"
"USC00338609","2001-07","42.7"
"USC00338609","2001-08","26.9"
"USC00338609","2001-09","43.2"
"USC00338609","2001-10","38.1"
